PID,DATE,TIME,ELAPSED,CPU,MEM,RSS,VSIZE,CMD
8922,2023-03-31,16:21:11,00:10,0.1,0.5,76656,408708224,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=eventlet --loglevel=info --without-gossip --without-mingle
8922,2023-03-31,16:21:12,00:11,0.0,0.5,76672,408708224,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=eventlet --loglevel=info --without-gossip --without-mingle
8922,2023-03-31,16:21:13,00:12,0.0,0.5,76672,408708224,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=eventlet --loglevel=info --without-gossip --without-mingle
8922,2023-03-31,16:21:14,00:13,0.0,0.5,76704,408708224,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=eventlet --loglevel=info --without-gossip --without-mingle
8922,2023-03-31,16:21:15,00:14,0.0,0.5,76720,408708224,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=eventlet --loglevel=info --without-gossip --without-mingle
8922,2023-03-31,16:21:16,00:16,0.7,0.5,77104,408708288,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=eventlet --loglevel=info --without-gossip --without-mingle
8922,2023-03-31,16:21:18,00:17,0.0,0.5,77120,408708288,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=eventlet --loglevel=info --without-gossip --without-mingle
8922,2023-03-31,16:21:19,00:18,0.2,0.5,77136,408708288,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=eventlet --loglevel=info --without-gossip --without-mingle
8922,2023-03-31,16:21:20,00:19,0.0,0.5,77136,408708288,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=eventlet --loglevel=info --without-gossip --without-mingle
8922,2023-03-31,16:21:21,00:20,0.0,0.5,77136,408708288,/Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/python /Users/infante/Documents/Projects/CeleryConfigurationsExperiments/.venv/bin/celery -A waitinator.tasks worker --concurrency=4 --pool=eventlet --loglevel=info --without-gossip --without-mingle
